model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-pubmed/model-0_0003,models\sapbert-pubmed\model-0_0003,0.4583333333333333,0.5625,0.48819444444444443,60.71502,21,48,0.005306517084439595,768
sapbert-pubmed/model-0_0126,models\sapbert-pubmed\model-0_0126,0.4583333333333333,0.5625,0.4916666666666667,59.04278,21,48,0.00491216778755188,768
sapbert-pubmed/model-0_0001,models\sapbert-pubmed\model-0_0001,0.4583333333333333,0.5416666666666666,0.4840277777777778,61.28765,22,48,0.005743722120920817,768
sapbert-pubmed/model-0_4277,models\sapbert-pubmed\model-0_4277,0.4375,0.6041666666666666,0.4996527777777778,56.704193,19,48,0.004829655090967814,768
sapbert-pubmed/model-0_2160,models\sapbert-pubmed\model-0_2160,0.4375,0.5833333333333334,0.4760416666666667,56.777485,20,48,0.005905126531918843,768
all-mini-fine/model-0_1619,models\all-mini-fine\model-0_1619,0.4166666666666667,0.6041666666666666,0.471875,52.329582,19,48,0.0031023770570755005,384
sapbert-pubmed/model-0_1608,models\sapbert-pubmed\model-0_1608,0.4166666666666667,0.5625,0.47291666666666665,58.44839,21,48,0.005315274000167847,768
biomedical-roberta/model-0_0157,models\biomedical-roberta\model-0_0157,0.4166666666666667,0.625,0.4920138888888889,53.22585,18,48,0.005008498827616374,768
medcpt/model-0_2250,models\medcpt\model-0_2250,0.4166666666666667,0.625,0.48680555555555555,71.776405,18,48,0.0053953131039937334,768
roberta-catalan/model-0_0000_1,models\roberta-catalan\model-0_0000_1,0.3958333333333333,0.4791666666666667,0.425,59.906097,25,48,0.005365793903668721,768
pubmedbert-ms/model-0_0003,models\pubmedbert-ms\model-0_0003,0.3958333333333333,0.5833333333333334,0.46249999999999997,75.473274,20,48,0.004849145809809367,768
pubmedbert-ms/model-0_0007,models\pubmedbert-ms\model-0_0007,0.3958333333333333,0.5,0.4381944444444445,73.10041,24,48,0.005119721094767253,768
pubmedbert-ms/model-0_0001,models\pubmedbert-ms\model-0_0001,0.3958333333333333,0.5208333333333334,0.44965277777777773,75.41747,23,48,0.004844466845194499,768
