model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
all-mini-fine/model-0_1619,models\all-mini-fine\model-0_1619,0.4583333333333333,0.7083333333333334,0.5527777777777777,46.988583,14,48,0.0033341447512308755,384
sapbert-pubmed/model-0_1608,models\sapbert-pubmed\model-0_1608,0.4583333333333333,0.6041666666666666,0.5083333333333333,53.61799,19,48,0.006002803643544515,768
sapbert-pubmed/model-0_2160,models\sapbert-pubmed\model-0_2160,0.4583333333333333,0.5833333333333334,0.5086805555555556,52.72421,20,48,0.005216151475906372,768
roberta-catalan/model-0_0007,models\roberta-catalan\model-0_0007,0.4583333333333333,0.5625,0.5041666666666667,68.86684,21,48,0.005098462104797363,768
biomedical-roberta/model-0_0035,models\biomedical-roberta\model-0_0035,0.4583333333333333,0.625,0.5170138888888889,67.46123,18,48,0.005268613497416179,768
roberta-catalan/model-0_0067,models\roberta-catalan\model-0_0067,0.4375,0.6041666666666666,0.49895833333333334,67.697525,19,48,0.004852106173833211,768
bioclinicalbert/model-0_0002,models\bioclinicalbert\model-0_0002,0.4166666666666667,0.6041666666666666,0.47881944444444446,73.58807,19,48,0.0049581825733184814,768
medcpt/model-0_4646,models\medcpt\model-0_4646,0.3958333333333333,0.7083333333333334,0.5211805555555555,79.882126,14,48,0.004810760418574016,768
base_model,./all-mini-base,0.3958333333333333,0.6458333333333334,0.4920138888888889,50.878048,17,48,0.0032769938309987388,384
paraphrase-agressive/model-0_0857,models\paraphrase-agressive\model-0_0857,0.3958333333333333,0.625,0.47430555555555554,52.951168,18,48,0.00515069564183553,384
biomedical-roberta/model-0_0157,models\biomedical-roberta\model-0_0157,0.375,0.625,0.46527777777777773,59.363956,18,48,0.0049561311801274615,768
pubmedbert-ms/model-0_0001,models\pubmedbert-ms\model-0_0001,0.375,0.5833333333333334,0.4486111111111111,73.50547,20,48,0.00530622402826945,768
